"","site_id","date","filename","species","begin_clock_time_hms","nauticalDawn","sunrise","peak_freq","vert_strat","relative_onset_times","scientific_name","common_name","ebird_residuals","foraging_habit","territoriality","mass","trophic_niche","season"
"625","OLCAP3B",2020-03-13,"20200313_055000.WAV","GRTD",05:53:12,05:46:12,2020-03-13 06:31:38,1406.25,7,7,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"626","IPTO04R",2020-05-03,"20200503_055000.WAV","GRJU",05:53:17,05:17:13,2020-05-03 06:04:48,1312.5,3,36.0666666666667,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"627","SEL207U",2020-05-02,"20200502_055000.WAV","IWEY",05:53:17,05:17:53,2020-05-02 06:05:23,3843.75,5,35.4,"Zosterops palpebrosus","Indian White-eye",-0.195169684868773,"MID","Weakly territorial",8.6,"Omnivore","summer"
"628","INBS04U",2020-05-07,"20200507_055000.WAV","GRFL",05:53:18,05:16:01,2020-05-07 06:03:54,2812.5,4,37.2833333333333,"Chrysocolaptes guttacristatus","Greater Flameback",-0.0911206801501304,"CAN","Highly territorial",166,"Invertivore","summer"
"629","STIN02U",2020-05-09,"20200509_055000.WAV","IWEY",05:53:18,05:15:18,2020-05-09 06:03:21,3750,4,38,"Zosterops palpebrosus","Indian White-eye",-0.195169684868773,"MID","Weakly territorial",8.6,"Omnivore","summer"
"630","UPMAP3B",2020-03-28,"20200328_055000.WAV","BNMO",05:53:18,05:37:28,2020-03-28 06:23:01,5250,7,15.8333333333333,"Hypothymis azurea","Black-naped Monarch",0.0998052336804932,"MID","Weakly territorial",11.1,"Invertivore","summer"
"631","INBS04R",2020-03-24,"20200324_055000.WAV","OHTH",05:53:19,05:39:50,2020-03-24 06:25:18,3093.75,6,13.4833333333333,"Geokichla citrina","Orange-headed Thrush",0.11323128969935,"GRD","Weakly territorial",53.3,"Omnivore","summer"
"632","INME03U",2020-05-07,"20200507_055000.WAV","ISBA",05:53:24,05:16:02,2020-05-07 06:03:55,937.5,6,37.3666666666667,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler",-0.137206404543351,"UND","Highly territorial",43,"Invertivore","summer"
"633","HP36P4B",2020-03-25,"20200325_055000.WAV","ABFL",05:53:27,05:38:56,2020-03-25 06:24:25,3656.25,8,14.5166666666667,"Muscicapa dauurica","Asian Brown Flycatcher",0.269123318766445,"MID","Weakly territorial",9.8,"Invertivore","summer"
"634","IPTO04R",2020-05-10,"20200510_055000.WAV","GRJU",05:53:28,05:14:42,2020-05-10 06:02:50,1218.75,3,38.7666666666667,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
"635","UPMAP1B",2020-03-25,"20200325_055000.WAV","GRTD",05:53:32,05:39:20,2020-03-25 06:24:49,1687.5,6,14.2,"Dicrurus paradiseus","Greater Racket-tailed Drongo",0.126821091981418,"CAN","Highly territorial",85.8,"Invertivore","summer"
"636","HP36P1B",2020-03-05,"20200305_055000.WAV","WTKI",05:53:32,05:50:21,2020-03-05 06:35:55,1968.75,8,3.18333333333333,"Halcyon smyrnensis","White-throated Kingfisher",0.239564268249285,"AQU","Weakly territorial",91.4,"Omnivore","summer"
"637","INBS04R",2020-05-08,"20200508_055000.WAV","PTBA",05:53:36,05:15:40,2020-05-08 06:03:38,2625,6,37.9333333333333,"Pellorneum ruficeps","Puff-throated Babbler",0.0901612947069309,"GRD","Highly territorial",26,"Invertivore","summer"
"638","SEL207R",2020-03-10,"20200310_055000.WAV","OHTH",05:53:36,05:48:01,2020-03-10 06:33:29,3093.75,4,5.58333333333333,"Geokichla citrina","Orange-headed Thrush",0.11323128969935,"GRD","Weakly territorial",53.3,"Omnivore","summer"
"639","INBS04U",2020-03-24,"20200324_055000.WAV","BCFU",05:53:37,05:39:50,2020-03-24 06:25:18,3187.5,4,13.7833333333333,"Alcippe poioicephala","Brown-cheeked Fulvetta",-0.0355518522218901,"MID","Highly territorial",20.7,"Invertivore","summer"
"640","SEL107R",2020-03-25,"20200325_055000.WAV","GRJU",05:53:37,05:39:11,2020-03-25 06:24:39,1406.25,5,14.4333333333333,"Gallus sonneratii","Gray Junglefowl",-0.227564125346617,"GRD","Weakly territorial",840.8,"Omnivore","summer"
