"","ebird_residuals","scientific_name","common_name"
"30",0.0362307463775881,"Oriolus xanthornus","Black-hooded Oriole"
"31",-0.0612010871590927,"Orthotomus sutorius","Common Tailorbird"
"32",-0.215199045094871,"Pavo cristatus","Indian Peafowl"
"33",0.0901612947069309,"Pellorneum ruficeps","Puff-throated Babbler"
"34",0.148345621642869,"Pericrocotus flammeus","Orange Minivet"
"35",-0.0814950045782695,"Phylloscopus trochiloides","Greenish Warbler"
"36",-0.0513761012893874,"Picumnus innominatus","Speckled Piculet"
"37",0.00610054280728217,"Picus chlorolophus","Lesser Yellownape"
"38",0.225576116147232,"Pitta brachyura","Indian Pitta"
"39",-0.0354682937927485,"Pycnonotus jocosus","Red-whiskered Bulbul"
"40",-0.155304056478823,"Upupa epops","Eurasian Hoopoe"
"41",-0.195169684868773,"Zosterops palpebrosus","Indian White-eye"
"42",0.107121686439749,"Acritillas indica","Yellow-browed Bulbul"
"43",-0.0431102377052444,"Acrocephalus dumetorum","Blyth's Reed Warbler"
"44",-0.0355518522218901,"Alcippe poioicephala","Brown-cheeked Fulvetta"
"45",-0.192583818799473,"Argya subrufa","Rufous Babbler"
"46",-0.0911206801501304,"Chrysocolaptes guttacristatus","Greater Flameback"
"47",-0.108959760688599,"Cinnyris asiaticus","Purple Sunbird"
"48",0.127786668799846,"Cyornis pallidipes","White-bellied Blue Flycatcher"
"49",0.23475107786673,"Dendrocitta leucogastra","White-bellied Treepie"
"50",-0.306842830851166,"Dinopium javanense","Common Flameback"
"51",-0.0668848690657006,"Dumetia atriceps","Dark-fronted Babbler"
"52",0.0594007174782308,"Eumyias albicaudatus","Nilgiri Flycatcher"
"53",0.15660845437625,"Ficedula nigrorufa","Black-and-orange Flycatcher"
"54",-0.0735801670059774,"Ficedula ruficauda","Rusty-tailed Flycatcher"
"55",-0.143238631683587,"Galloperdix spadicea","Red Spurfowl"
"56",-0.227564125346617,"Gallus sonneratii","Gray Junglefowl"
"57",0.11323128969935,"Geokichla citrina","Orange-headed Thrush"
"58",-0.0602970432454826,"Gracula indica","Southern Hill Myna"
"59",0.160433908584806,"Harpactes fasciatus","Malabar Trogon"
"60",0.126382036256765,"Hierococcyx varius","Common Hawk-Cuckoo"
"61",-0.0457137112381185,"Hypsipetes ganeesa","Square-tailed Bulbul"
"62",-0.127181874235415,"Larvivora brunnea","Indian Blue Robin"
"63",-0.275952445388988,"Leptocoma minima","Crimson-backed Sunbird"
"64",-0.131031073279632,"Machlolophus aplonotus","Indian Yellow Tit"
"65",-0.053732004988919,"Micropternus brachyurus","Rufous Woodpecker"
"66",0.161241317363324,"Muscicapa muttui","Brown-breasted Flycatcher"
"67",0.185941569594437,"Myophonus horsfieldii","Malabar Whistling-Thrush"
"68",-0.031870312619463,"Pericrocotus cinnamomeus","Small Minivet"
"69",-0.194778649834609,"Phylloscopus magnirostris","Large-billed Leaf Warbler"
"70",-0.226492941973752,"Phylloscopus nitidus","Green Warbler"
"71",-0.117386165628064,"Picus xanthopygaeus","Streak-throated Woodpecker"
"72",-0.137206404543351,"Pomatorhinus horsfieldii","Indian Scimitar-Babbler"
"73",-0.247582268185197,"Psilopogon malabaricus","Malabar Barbet"
"74",0.0745659242111165,"Psilopogon viridis","White-cheeked Barbet"
"75",-0.288910634843921,"Rubigula gularis","Flame-throated Bulbul"
"76",-0.208269971485303,"Sitta frontalis","Velvet-fronted Nuthatch"
"77",0.0963470420313519,"Tephrodornis sylvicola","Malabar Woodshrike"
"78",0.108381530241328,"Terpsiphone paradisi","Indian Paradise-Flycatcher"
"79",-0.260222599520476,"Treron affinis","Gray-fronted Green-Pigeon"
